primary_label,secondary_labels,type,filename,collection,rating,url,latitude,longitude,scientific_name,common_name,author,license
1139490,[''],[''],1139490/CSA36385.ogg,CSA,0.0,train_audio_clear/1139490/CSA36385.ogg,7.3206,-73.7128,Ragoniella pulchella,Ragoniella pulchella,Fabio A. Sarria-S,cc-by-nc-sa 4.0
1139490,[''],[''],1139490/CSA36389.ogg,CSA,0.0,train_audio_clear/1139490/CSA36389.ogg,7.3206,-73.7128,Ragoniella pulchella,Ragoniella pulchella,Fabio A. Sarria-S,cc-by-nc-sa 4.0
1192948,[''],[''],1192948/CSA36358.ogg,CSA,0.0,train_audio_clear/1192948/CSA36358.ogg,7.3791,-73.7313,Oxyprora surinamensis,Oxyprora surinamensis,Fabio A. Sarria-S,cc-by-nc-sa 4.0
1192948,[''],[''],1192948/CSA36366.ogg,CSA,0.0,train_audio_clear/1192948/CSA36366.ogg,7.28,-73.8582,Oxyprora surinamensis,Oxyprora surinamensis,Fabio A. Sarria-S,cc-by-nc-sa 4.0
1192948,[''],[''],1192948/CSA36373.ogg,CSA,0.0,train_audio_clear/1192948/CSA36373.ogg,7.3791,-73.7313,Oxyprora surinamensis,Oxyprora surinamensis,Fabio A. Sarria-S,cc-by-nc-sa 4.0
1192948,[''],[''],1192948/CSA36388.ogg,CSA,0.0,train_audio_clear/1192948/CSA36388.ogg,7.3791,-73.7313,Oxyprora surinamensis,Oxyprora surinamensis,Fabio A. Sarria-S,cc-by-nc-sa 4.0
1194042,[''],[''],1194042/CSA18783.ogg,CSA,0.0,train_audio_clear/1194042/CSA18783.ogg,5.7892,-73.5504,Copiphora colombiae,Copiphora colombiae,Diego A Gómez-Morales,cc-by-nc-sa 4.0
1194042,[''],[''],1194042/CSA18794.ogg,CSA,0.0,train_audio_clear/1194042/CSA18794.ogg,5.7892,-73.5504,Copiphora colombiae,Copiphora colombiae,Orlando Acevedo-Charry,cc-by-nc-sa 4.0
1194042,[''],[''],1194042/CSA18802.ogg,CSA,0.0,train_audio_clear/1194042/CSA18802.ogg,5.7892,-73.5504,Copiphora colombiae,Copiphora colombiae,Orlando Acevedo-Charry,cc-by-nc-sa 4.0
126247,"['65448', '22976', '476538']",['advertisement call'],126247/XC941297.ogg,XC,3.5,train_audio_clear/126247/XC941297.ogg,9.0465,-79.3024,Leptodactylus insularum,Spotted Foam-nest Frog,Chris Harrison,cc-by-nc-sa 4.0
126247,[''],[''],126247/iNat1109254.ogg,iNat,0.0,train_audio_clear/126247/iNat1109254.ogg,9.0465,-79.3024,Leptodactylus insularum,Spotted Foam-nest Frog,Chris Harrison,cc-by-nc 4.0
126247,[''],[''],126247/iNat146584.ogg,iNat,0.0,train_audio_clear/126247/iNat146584.ogg,13.3852,-81.3704,Leptodactylus insularum,Spotted Foam-nest Frog,Rafael Tosi,cc-by 4.0
126247,[''],[''],126247/iNat320679.ogg,iNat,0.0,train_audio_clear/126247/iNat320679.ogg,13.3482,-81.3576,Leptodactylus insularum,Spotted Foam-nest Frog,Carolina Soto V,cc-by-nc 4.0
